RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
3809,701,Germany,Male,41,0,150844.94,1,0,1,127623.36,0
5450,549,France,Female,46,7,0.0,1,1,1,109057.56,0
9491,624,France,Male,80,3,0.0,1,1,1,65801.44,0
6924,806,France,Male,34,5,113958.55,1,0,1,32125.98,0
1992,626,Germany,Male,36,2,181671.16,2,1,1,57531.14,0
689,625,France,Female,51,7,136294.97,1,1,0,38867.46,1
1309,710,France,Male,33,10,118327.17,2,1,1,192928.82,0
8214,598,Spain,Male,34,0,104488.17,1,0,1,43249.67,0
9564,703,France,Male,28,9,0.0,2,0,1,2151.17,0
6138,652,France,Female,51,3,0.0,1,1,0,173989.47,1
5304,634,Spain,Male,25,9,0.0,2,1,1,8227.91,0
1374,528,Germany,Female,46,9,135555.66,1,1,0,133146.03,1
2875,831,Germany,Male,32,9,80262.66,1,1,0,194867.78,0
3523,659,France,Female,38,9,0.0,2,1,1,132809.18,0
4829,741,Spain,Female,42,9,121056.63,2,1,0,39122.58,0
1819,633,Spain,Male,32,5,163340.12,2,1,1,74415.2,0
379,629,Spain,Female,30,2,34013.63,1,1,0,19570.63,0
1627,617,France,Female,28,0,0.0,2,1,1,7597.83,1
7864,746,France,Male,47,8,142382.03,1,1,1,62086.62,0
6779,679,Germany,Female,50,6,132598.38,2,1,1,184017.98,0
6995,557,France,Female,24,4,0.0,1,0,0,20515.72,0
5191,735,Spain,Male,36,5,0.0,2,1,0,105152.17,0
4561,624,Spain,Female,36,0,0.0,2,1,0,111605.9,0
6287,637,France,Female,41,9,0.0,2,1,0,145477.36,0
4882,579,France,Male,31,6,0.0,2,1,0,26149.25,0
6180,591,Germany,Female,34,4,150635.3,1,1,1,72274.84,0
9102,597,Spain,Male,38,6,115702.67,2,1,1,25059.05,0
9460,650,France,Female,47,9,0.0,1,1,0,187943.6,0
2628,571,Germany,Male,25,6,82506.72,2,1,0,167705.07,0
4246,732,France,Female,34,8,122338.43,2,1,0,187985.85,0
3295,528,Germany,Male,39,0,127631.62,1,0,1,22197.8,1
1901,570,France,Female,33,8,0.0,1,1,1,124641.42,0
857,567,Germany,Female,49,5,134956.02,1,1,0,93953.84,1
